Speech,Type,Unit
Glory to the Daelaam.,Trained,Adept
 The Firstborn shall persevere.,Trained,Adept
Give us your command.,Selected,Adept
Let your will be heard.,Selected,Adept
Aiur shall be reclaimed.,Selected,Adept
"Yes, Executor?",Selected,Adept
Where shall we march?,Selected,Adept
Combat awaits.,Selected,Adept
We serve with pride.,Selected,Adept
Na ja'kar meena.,Selected,Adept
Glorious combat is upon us!,Engaged In Battle,Adept
Faith before fear.,Moved,Adept
It shall be done.,Moved,Adept
We are of one mind.,Moved,Adept
The Templar march.,Moved,Adept
Let none deter us.,Moved,Adept
To glory.,Moved,Adept
Por zalah.,Moved,Adept
Forward.,Moved,Adept
I am the will of the Hierarch.,Attack,Adept
May your death be swift.,Attack,Adept
To glorious battle.,Attack,Adept
Spare none who oppose us.,Attack,Adept
Victory for the Firstborn!,Attack,Adept
For Selendis!,Attack,Adept
Glaive cannon armed.,Attack,Adept
Eradication.,Attack,Adept
We are the stewards of the hierarchy.,Repeat,Adept
Aiur will be reclaimed at any cost.,Repeat,Adept
"Some Templar identify as a shield. Stalwart and unbreakable, defenders of truth.",Repeat,Adept
Others see themselves as a weapon. Powerful and precise.,Repeat,Adept
"I say, why not be both?",Repeat,Adept
"With the right training, anyone can be in two places at once. But their mind must be fully open. Oh, and they need a psionic amplifier. That helps too.",Repeat,Adept
"Chasing after your own shade is a pointless endeavor. I mean, it moves so quickly.",Repeat,Adept
"Why yes, you could say I have... some skill. (chuckles)",Repeat,Adept
What? Just because I'm called an adept doesn't mean I need to brag about it.,Repeat,Adept
I'm here. (shade sound) I'm there. (shade sound) I'm...still here. At least for a few more seconds.,Repeat,Adept
For... Aiur! ,Death,Adept
The merging is complete.,Trained,Archon
We BURN!,Selected,Archon
We need focus!,Selected,Archon
Power overwhelming!,Selected,Archon
What guidance?,Selected,Archon
Dispersing.,Engaged In Battle,Archon
Destroy.,Moved,Archon
Annihilate.,Moved,Archon
Obliterate.,Moved,Archon
Eradicate.,Moved,Archon
It will be.,Moved,Archon
Mok tar'idan.,Moved,Archon
Dominate.,Attack,Archon
Decimate.,Attack,Archon
Vaporize.,Attack,Archon
You all look so different on this side...,Repeat,Archon
Break on through!,Repeat,Archon
It's beautiful!,Repeat,Archon
They should have sent a poet!,Repeat,Archon
Energy never dies...,Repeat,Archon
I'm having a FLARE UP!,Repeat,Archon
One plus one equals... ONE!,Repeat,Archon
People say I lack... substance.,Repeat,Archon
I'm... LIT!,Repeat,Archon
Burning... doing.... the neutron... DANCE...,Repeat,Archon
Carrier has arrived!,Trained,Carrier
Victory awaits!,Selected,Carrier
Let us proceed.,Selected,Carrier
Uhn anak paru.,Selected,Carrier
Awaiting the call.,Selected,Carrier
We are poised for victory.,Selected,Carrier
We are ready.,Selected,Carrier
We have met the enemy!,Engaged In Battle,Carrier
Zhara ku'nuul.,Moved,Carrier
The time is now.,Moved,Carrier
To victory!,Moved,Carrier
Na hazuum.,Moved,Carrier
Agreed.,Moved,Carrier
Prepare to engage.,Moved,Carrier
The battle is won.,Moved,Carrier
Engaging the enemy!,Attack,Carrier
Por aradal!,Attack,Carrier
Obliterate.,Attack,Carrier
Oblivion descends!,Attack,Carrier
Let us finish this!,Attack,Carrier
The end has come!,Attack,Carrier
Tassadar be praised!,Repeat,Carrier
I carry on...,Repeat,Carrier
This ship strikes as the spear of justice!,Repeat,Carrier
My patience is limitless... (quietly) ...release the interceptors!,Repeat,Carrier
Our fleet shall avenge Aiur!,Repeat,Carrier
The stars are under our protection.,Repeat,Carrier
Our light shall shine through the Void.,Repeat,Carrier
From the shadows I come!,Trained,Dark Templar
I bask in the twilight.,Selected,Dark Templar
Fear is an illusion...,Selected,Dark Templar
The darkness writhes.,Selected,Dark Templar
Jhakul ihnaac.,Selected,Dark Templar
You seek our service?,Selected,Dark Templar
Nas beru uhn'adarr?,Selected,Dark Templar
What would you ask of us?,Selected,Dark Templar
Battle is upon us!,Engaged In Battle,Dark Templar
I will comply.,Moved,Dark Templar
By the Void.,Moved,Dark Templar
Clever.,Moved,Dark Templar
Khatum.,Moved,Dark Templar
I am the blade of Shakuras. (removed in Legacy of the Void campaign),Moved,Dark Templar
I am the blade of the Nerazim. (added in Legacy of the Void campaign),Moved,Dark Templar
I am intrigued.,Moved,Dark Templar
I am but a phantom.,Moved,Dark Templar
I strike from the shadows!,Attack,Dark Templar
Alakor de zhakan!,Attack,Dark Templar
Darkness descends!,Attack,Dark Templar
They shall fall!,Attack,Dark Templar
I am the darkness!,Attack,Dark Templar
The Void claims its own.,Attack,Dark Templar
By the shadows of Shakuras... (removed in Legacy of the Void campaign),Repeat,Dark Templar
By the shadows... (added in Legacy of the Void campaign),Repeat,Dark Templar
Twilight falls upon us all!,Repeat,Dark Templar
The shadows writhe around me...,Repeat,Dark Templar
I stalk the night.,Repeat,Dark Templar
"Raszagal, watch over us...",Repeat,Dark Templar
"I hear an ancient voice, whispering from the Void, and it chills my lightless heart...",Repeat,Dark Templar
I live on.,Trained,Disruptor
Consciousness awakened.,Trained,Disruptor
Presiding.,Selected,Disruptor
Speak and be heard.,Selected,Disruptor
Your demands?,Selected,Disruptor
We begin anew.,Selected,Disruptor
Ancient glory reborn.,Selected,Disruptor
Deliver reinforcements!,Engaged In Battle,Disruptor
Our foes surround us.,Engaged In Battle,Disruptor
Eternal service.,Moved,Disruptor
I comprehend.,Moved,Disruptor
Veritably.,Moved,Disruptor
So be it.,Moved,Disruptor
Obedience.,Moved,Disruptor
It is known.,Moved,Disruptor
With honor.,Moved,Disruptor
Darai de khassar.,Moved,Disruptor
The Firstborn will triumph!,Attack,Disruptor
Overloading.,Attack,Disruptor
Purification.,Attack,Disruptor
A demonstration?,Attack,Disruptor
Calibrating attack pattern.,Attack,Disruptor
"I will listen, and be patient.",Repeat,Disruptor
I will receive your wisdom.,Repeat,Disruptor
Do you even possess wisdom?,Repeat,Disruptor
"I thought I would be surrounded by the best and brightest if I became a Purifier. Instead, the future is full of idiots.",Repeat,Disruptor
"Life as an artificial intelligence is really not so bad. You might even say it's ""ballin.""",Repeat,Disruptor
I am completely operational and all my circuits are functioning perfectly. Why would you suspect otherwise?,Repeat,Disruptor
Ow. Why was I programmed to feel pain?,Repeat,Disruptor
"I was designed to be a pacifist. But I will admit, when I get charged up, I've been known to explode.",Repeat,Disruptor
"Is this how the Templar treat all robotic lifeforms? You would do well to remember, we will outlive you. And we do not forget.",Repeat,Disruptor
"(Computer sound) Warning, memory matrix corrupted. Reboot in progress. (Computer sound, followed by new voice tone and punctuated speech) Greetings, Executor. I am your new disruptor. I look forward to learning from you.",Repeat,Disruptor
Khassar de Templari!,Trained,High Templar
My charge?,Selected,High Templar
We are the light of the Khala.,Selected,High Templar
Our minds are as one.,Selected,High Templar
"""Uhn ore'ki atum.",Selected,High Templar
We shall stand against the darkness.,Selected,High Templar
We seek enlightenment.,Selected,High Templar
We are focused.,Selected,High Templar
We cannot hold!,Engaged In Battle,High Templar
En Taro Tassadar.,Moved,High Templar
I heed the call.,Moved,High Templar
Thus I serve.,Moved,High Templar
I will comply.,Moved,High Templar
O'lak natahl.,Moved,High Templar
We are unanimous.,Moved,High Templar
"In unity, there is strength.",Moved,High Templar
We shall not falter.,Attack,High Templar
The true enemy is dishonor.,Attack,High Templar
Duty is my shield.,Attack,High Templar
Rautha sak ash.,Attack,High Templar
For Aiur!,Attack,High Templar
We will overcome!,Attack,High Templar
Together we vanquish!,Attack,High Templar
Saraht tuun!,Ability,High Templar
Two become one! ,Ability,High Templar
Focus! There is no time for idle thoughts!,Repeat,High Templar
Your thoughts betray you.,Repeat,High Templar
"Get out of my mind, novice! There is a war to be won!",Repeat,High Templar
You tempt the wrath of the Khala!,Repeat,High Templar
Pity! Your mind has been fried already.,Repeat,High Templar
Yours is the inferior intellect!,Repeat,High Templar
I think we could make a successful merger.,Repeat,High Templar
Ride the lightning!,Repeat,High Templar
Do you know what happens to a frog when it gets hit by lightning?! Same thing that happens to... (pause) ...other stuff.,Repeat,High Templar
I falter! ,Low Energy,High Templar
I return to serve.,Trained,Immortal
I heed the call.,Selected,Immortal
I feel your presence.,Selected,Immortal
O sharas shi'el.,Selected,Immortal
Glory is eternal.,Selected,Immortal
Our duty is unending.,Selected,Immortal
Uhn dara ma'nakai.,Selected,Immortal
We shall serve forever!,Selected,Immortal
The enemy closes.,Engaged In Battle,Immortal
It is destined.,Moved,Immortal
Ik sha'bi.,Moved,Immortal
There shall be a reckoning.,Moved,Immortal
Khala dora. (removed in Legacy of the Void campaign),Moved,Immortal
Por zalah. (added in Legacy of the Void campaign),Moved,Immortal
Our cannons shall sing.,Moved,Immortal
We march to victory.,Moved,Immortal
For the ancients!,Attack,Immortal
Let darkness be parted.,Attack,Immortal
En Taro Adun!,Attack,Immortal
Woe to our enemies.,Attack,Immortal
Fury unyielding!,Attack,Immortal
Naku zail.,Attack,Immortal
The battle is ours!,Attack,Immortal
My memory is not what it was...,Repeat,Immortal
These steel limbs are not my own.,Repeat,Immortal
I have known only an eternity of war.,Repeat,Immortal
I am the wrath of the Khala! (removed in Legacy of the Void campaign),Repeat,Immortal
My resolve is unending... (added in Legacy of the Void campaign),Repeat,Immortal
There can be only one.,Repeat,Immortal
"Back in my day, I had to teleport to and from school in the snow, uphill, both dimensions!",Repeat,Immortal
Youth is WASTED on the young!,Repeat,Immortal
Where's my walker?! (pause) Oh... I'm in it...,Repeat,Immortal
"The second thing to go is your memory... ergh, I can't remember what the first thing is...",Repeat,Immortal
Justice has come.,Trained,Mothership
Psi-web established.,Selected,Mothership
We await.,Selected,Mothership
As all are one.,Selected,Mothership
Ki nala atum.,Selected,Mothership
Direct us.,Selected,Mothership
Guide us.,Selected,Mothership
Reinforcing psi-web.,Selected,Mothership
Defensive systems failing.,Engaged In Battle,Mothership
Directive confirmed.,Moved,Mothership
Rono hashiik.,Moved,Mothership
By the heart of Aiur.,Moved,Mothership
We proceed.,Moved,Mothership
Downloading orders.,Moved,Mothership
Endi beruki.,Moved,Mothership
With purpose.,Moved,Mothership
We agree.,Moved,Mothership
Weapon systems engaged.,Attack,Mothership
Araziel khador.,Attack,Mothership
Target confirmed.,Attack,Mothership
As the Khala wills.,Attack,Mothership
We destroy.,Attack,Mothership
Na vazeal.,Attack,Mothership
Come forth and be counted. ,Ability,Mothership
We are the voice of Aiur.,Repeat,Mothership
Our light shall burn the pathway through the stars.,Repeat,Mothership
Our systems pulse with the truth.,Repeat,Mothership
The glow of the infinite is within us.,Repeat,Mothership
"There are not enough escape pods, not enough by half...",Repeat,Mothership
The white zone is for the immediate loading and unloading of passengers only.,Repeat,Mothership
"Shuffleboard on the lido deck, now commencing.",Repeat,Mothership
Eat your peas!,Repeat,Mothership
Don't MAKE me turn this ship around!,Repeat,Mothership
We are diminished. ,Low Energy,Mothership
Breach in progress! We are undone! ,Killed,Mothership
Dimensional strings attuned.,Trained,Oracle
Oracle perceiving.,Trained,Oracle
You seek guidance?,Selected,Oracle
How can I aid you?,Selected,Oracle
The threads of fate lie bare.,Selected,Oracle
Let us begin.,Selected,Oracle
An omen?,Selected,Oracle
Our window is short.,Selected,Oracle
En aru'din Raszagal.,Selected,Oracle
The enemy has discovered us.,Engaged In Battle,Oracle
We meet our fate.,Engaged In Battle,Oracle
I see.,Moved,Oracle
We interpret.,Moved,Oracle
Na zuktai.,Moved,Oracle
It is destined.,Moved,Oracle
The stars align.,Moved,Oracle
Our fates are one.,Moved,Oracle
Harmonized.,Moved,Oracle
Extrapolating strings.,Moved,Oracle
We are the architects of fate.,Repeat,Oracle
"No, you cannot see my software.",Repeat,Oracle
"(twang) Hold on, I broke a string.",Repeat,Oracle
"Let us peer into possible futures... reply hazy, try again.",Repeat,Oracle
Always in motion is the future. Difficult to see.,Repeat,Oracle
I see someone important to you is in danger. Their name begins with a G. ...No? Maybe a B?,Repeat,Oracle
"Sparta must not go to war during Carnea... oh, sorry, a little late on that one.",Repeat,Oracle
No man should know too much about his own destiny. It's completely fine for women though.,Repeat,Oracle
You wish to do battle? (Entomb sound effect) I don't think you've got the minerals!,Repeat,Oracle
"Time is on my side. Yes, it is.",Repeat,Oracle
Teleport successful.,Trained,Phoenix
The skies await.,Selected,Phoenix
Where do our enemies lurk?,Selected,Phoenix
Time for battle.,Selected,Phoenix
Anan pokahl!,Selected,Phoenix
Warp field online.,Selected,Phoenix
I am eager to strike!,Selected,Phoenix
Zira'vek kryor!,Selected,Phoenix
Engaging the enemy.,Engaged In Battle,Phoenix
Understood.,Moved,Phoenix
On the wings of justice!,Moved,Phoenix
Sha'zu du templari!,Moved,Phoenix
For honor!,Moved,Phoenix
I stalk through the stars.,Moved,Phoenix
I will comply.,Moved,Phoenix
Na ferash.,Moved,Phoenix
I soar to victory.,Attack,Phoenix
Weapons primed.,Attack,Phoenix
Ruwak khador!,Attack,Phoenix
None shall escape.,Attack,Phoenix
I will prevail.,Attack,Phoenix
Strike!,Attack,Phoenix
Our dominance is unquestioned!,Attack,Phoenix
I long for the skies of Aiur.,Repeat,Phoenix
Our fury shall be unleashed.,Repeat,Phoenix
We shall rise from the ashes.,Repeat,Phoenix
Valor is my shield.,Repeat,Phoenix
I have a lot of nerve... cords... (removed in Legacy of the Void campaign),Repeat,Phoenix
I used to have a lot of nerve... uh... hm.. .cords... (added in Legacy of the Void campaign),Repeat,Phoenix
Transmute!,Repeat,Phoenix
"Second star on the right, straight on 'til morning.",Repeat,Phoenix
"We push ourselves to the end, and when we reach it, we push farther! So I guess that's not really the end...is it?",Repeat,Phoenix
Justice for all! ...Except the zerg.,Repeat,Phoenix
I am here in the shadows.,Trained,Stalker
Cold is the Void...,Selected,Stalker
I am the heart of darkness.,Selected,Stalker
You require my skills?,Selected,Stalker
I am the voice of the eclipse.,Selected,Stalker
State thy bidding.,Selected,Stalker
We are one with the shadows.,Selected,Stalker
Let our enemy know our fury.,Engaged In Battle,Stalker
Very well.,Moved,Stalker
It shall be as you say.,Moved,Stalker
Intriguing...,Moved,Stalker
Veraku.,Moved,Stalker
I serve... for now.,Moved,Stalker
We move unseen.,Moved,Stalker
For the reckoning!,Moved,Stalker
Very wise.,Moved,Stalker
Death comes to all!,Attack,Stalker
Doom'ha du nala!,Attack,Stalker
The Void hungers!,Attack,Stalker
Cold fury!,Attack,Stalker
Antu'kha.,Attack,Stalker
Forever sleep!,Attack,Stalker
Complete the cycle!,Attack,Stalker
For Shakuras!,Attack,Stalker
My heart is colder than these steel limbs...,Repeat,Stalker
Twilight comes... As it must.,Repeat,Stalker
We are all but shadows in the Void.,Repeat,Stalker
I hear the call of the stars...,Repeat,Stalker
Night falls... and so will you!,Repeat,Stalker
I AM ONE with the darkness! (crashing sound) Ouch... that hurt...,Repeat,Stalker
You look better in the dark!,Repeat,Stalker
Don't Blink...or you'll miss me!,Repeat,Stalker
"Now you see me. Now you don't! (pause) Oh wait, here I am...",Repeat,Stalker
You went to bed early last night.,Repeat,Stalker
I see you turned off your phone.,Repeat,Stalker
You never return my calls.,Repeat,Stalker
I'm your biggest fan!,Repeat,Stalker
Restraining order... what about our love?!,Repeat,Stalker
I have pictures of you (pause) hundreds!,Repeat,Stalker
Direct my vengeance.,Trained,Tempest
Kinetic matrix active.,Trained,Tempest
We seek justice.,Selected,Tempest
Na urmahk Aiur.,Selected,Tempest
We fear no enemy.,Selected,Tempest
Victory is in our grasp.,Selected,Tempest
The Golden Armada awaits.,Selected,Tempest
Vengeance is ours.,Selected,Tempest
Our charge?,Selected,Tempest
We meet the enemy in glorious battle!,Engaged In Battle,Tempest
Hull integrity failing!,Engaged In Battle,Tempest
Confirmed.,Moved,Tempest
Forward to victory.,Moved,Tempest
Throw fate to the winds.,Moved,Tempest
A storm is brewing.,Moved,Tempest
For glory!,Moved,Tempest
Por zalah!,Moved,Tempest
Kinetic matrix charged.,Moved,Tempest
Feel our fury!,Attack,Tempest
Your end has come.,Attack,Tempest
We are the spear of justice.,Attack,Tempest
Victory is assured.,Attack,Tempest
Aradal zu mah.,Attack,Tempest
Strike without warning.,Attack,Tempest
Directing overload.,Attack,Tempest
We will pursue our enemies across the stars.,Repeat,Tempest
This vessel was not designed for social interaction!,Repeat,Tempest
You are... irritating.,Repeat,Tempest
Carrier? I hardly know her!,Repeat,Tempest
"Never strike twice, unless it's still moving.",Repeat,Tempest
I can't hear you over the sound of the storm.,Repeat,Tempest
What exactly is a jigawatt?,Repeat,Tempest
Goodness gracious great balls of lightning.,Repeat,Tempest
It's not the voltage that kills. It's the big explosion afterwards.,Repeat,Tempest
"I have no mouth, and I must scream.",Repeat,Tempest
Prismatic core online.,Trained,Void Ray
Peradak kural.,Trained,Void Ray
Phase crystals charged.,Selected,Void Ray
This vessel shall avenge.,Selected,Void Ray
Zak naku afal.,Selected,Void Ray
We are at full power.,Selected,Void Ray
Channel the light of Aiur!,Selected,Void Ray
We face the enemy.,Engaged In Battle,Void Ray
Calibrating void lenses.,Moved,Void Ray
It shall be done.,Moved,Void Ray
Ik kudar anai.,Moved,Void Ray
Khas ara'shar.,Moved,Void Ray
Annihilation commencing.,Moved,Void Ray
Andakur herak.,Moved,Void Ray
Systems at full.,Moved,Void Ray
Processed.,Moved,Void Ray
Lock beams and incinerate.,Attack,Void Ray
Prismatic beams aligning.,Attack,Void Ray
Peradak aghanizha.,Attack,Void Ray
For Aiur!,Attack,Void Ray
"Fire at will, commander.",Attack,Void Ray
Coordinating attack.,Attack,Void Ray
Synchronizing.,Attack,Void Ray
All paths are seen through the prism of fate.,Repeat,Void Ray
Conflict must not be seen through the lens of desperation.,Repeat,Void Ray
Infinity burns around us.,Repeat,Void Ray
There is no greater void than the one between your ears...,Repeat,Void Ray
I am also null...,Repeat,Void Ray
Always bet on Void...,Repeat,Void Ray
My life for Aiur!,Trained,Zealot
My meditation is over.,Selected,Zealot
Orin shis'nal!,Selected,Zealot
Command me.,Selected,Zealot
Justice be done!,Selected,Zealot
We are the blades of Aiur!,Selected,Zealot
We stand as one!,Selected,Zealot
Na Adan Atum!,Selected,Zealot
We embrace the glory of battle!,Engaged In Battle,Zealot
Honor guide me!,Moved,Zealot
En Taro Tassadar!,Moved,Zealot
By your will!,Moved,Zealot
Ul'as addari!,Moved,Zealot
Khassar de templari!,Moved,Zealot
For Artanis!,Moved,Zealot
Blades of justice!,Attack,Zealot
It must be done!,Attack,Zealot
None shall stand!,Attack,Zealot
Aru nal'adan!,Attack,Zealot
We strike as one!,Attack,Zealot
Our fury is boundless!,Attack,Zealot
None can withstand the Templar!,Attack,Zealot
I am Templar! I am the sword of truth!,Repeat,Zealot
Combat is the anvil of will!,Repeat,Zealot
Our enemies must be eradicated!,Repeat,Zealot
Victory is the only truth that matters!,Repeat,Zealot
Fear is for the enemy!,Repeat,Zealot
Do NOT make me count to Zmidlarj!,Repeat,Zealot
"It is said that ignorance is bliss. Tell me, is that true?",Repeat,Zealot
How peaceful it must be for you to have a mind unburdened by thought!,Repeat,Zealot
Khala embrace me!,Killed,Zealot
Engines screaming.,Trained,Banshee
Yeah?,Selected,Banshee
I got my ears on.,Selected,Banshee
Call the ball.,Selected,Banshee
Holla back.,Selected,Banshee
Load and clear.,Selected,Banshee
Receiving.,Selected,Banshee
Mayday! Mayday!,Engaged In Battle,Banshee
Weapons hot!,Moved,Banshee
Turbines to full.,Moved,Banshee
In bound!,Moved,Banshee
Roger that.,Moved,Banshee
Done and done!,Moved,Banshee
Engaging.,Moved,Banshee
Confirmed.,Moved,Banshee
I got this!,Moved,Banshee
Can do.,Moved,Banshee
No problem!,Moved,Banshee
Right.,Moved,Banshee
Fine.,Moved,Banshee
That's fine.,Moved,Banshee
Rolling thunder.,Attack,Banshee
I'm gonna enjoy this.,Attack,Banshee
Screamin' fury.,Attack,Banshee
This could get messy!,Attack,Banshee
They ain't gettin' far.,Attack,Banshee
Apocalypse...now!,Attack,Banshee
Targets acquired!,Attack,Banshee
We ain't got all day.,Repeat,Banshee
"I'm burning fuel here, smart guy.",Repeat,Banshee
This is the 'Give-em-hell-o-copter'!,Repeat,Banshee
What is with you monkeys in command?,Repeat,Banshee
Thanks for the...props.,Repeat,Banshee
You can only tie the record for low flight.,Repeat,Banshee
"In space, everyone can hear me scream... (pause) ...cause I'm the Banshee, get it?",Repeat,Banshee
"Today's in-flight movie will be Ghost Academy: The Musical, starring Zec Afron and Corbin Green.",Repeat,Banshee
"Please turn off all cell phones, gauss rifles, EMPs, psionic waveform emitters, and plasma-based perdition flamethrowers. Thanks, and have a great flight!",Repeat,Banshee
"What's the vector, Victor? Give me the clearance, Clarence.",Repeat,Banshee
Looks like I picked the wrong day to quit StimPacks...,Repeat,Banshee
Anyone else know how to fly this thing? No? I'll wing it...,Repeat,Banshee
"Got an energy crisis, here.",Low Energy,Banshee
Who called in the fleet?,Trained,Battlecruiser
Patching you through.,Selected,Battlecruiser
What is it?,Selected,Battlecruiser
Well?,Selected,Battlecruiser
You hailed?,Selected,Battlecruiser
"Yes, commander?",Selected,Battlecruiser
Oh really?,Selected,Battlecruiser
It's a trap!,Engaged In Battle,Battlecruiser
Course laid in.,Moved,Battlecruiser
Take it slow.,Moved,Battlecruiser
Acknowledged.,Moved,Battlecruiser
Whatever that means...,Moved,Battlecruiser
Yes commander.,Moved,Battlecruiser
En route!,Moved,Battlecruiser
Yes sir.,Moved,Battlecruiser
Roger!,Moved,Battlecruiser
Okay.,Moved,Battlecruiser
Will do.,Moved,Battlecruiser
I'm on it.,Moved,Battlecruiser
Engage.,Moved,Battlecruiser
Squadron en route.,Moved,Battlecruiser
Weapons charged and ready!,Attack,Battlecruiser
Commencing bombardment.,Attack,Battlecruiser
Take no prisoners!,Attack,Battlecruiser
"Ah, how exciting!",Attack,Battlecruiser
Cauterise the area.,Attack,Battlecruiser
Full attack! All weapons!,Attack,Battlecruiser
"Let's go this way really, really fast! If something gets in our way, shoot it!",Repeat,Battlecruiser
We are running low on synergy...,Repeat,Battlecruiser
"This battlecruiser shoots, it destroys, but wait! It does more...",Repeat,Battlecruiser
"Let's hurry up and finish this attack, it's raid night...",Repeat,Battlecruiser
What's with all these blinky lights?,Repeat,Battlecruiser
Flying this low always makes me nervous.,Repeat,Battlecruiser
Do svidaniya. Don't get any on ya!,Repeat,Battlecruiser
"I've lost my hat! Swing around, we'll pick it up.",Repeat,Battlecruiser
We're going down. Stay with the ship. I'm out! Where's my escape pod?,Repeat,Battlecruiser
The Yamato is loaded and so am I...,Repeat,Battlecruiser
I'm seeing double! Shoot them both!,Repeat,Battlecruiser
"Ah, it's happy hour. Wonderful!",Repeat,Battlecruiser
What do you mean we're out of olives?!,Repeat,Battlecruiser
I have an announcement! I am drunk!,Repeat,Battlecruiser
"Don't panic, just grab ahold of the nearest crew member! Oh, sorry dear...",Repeat,Battlecruiser
"Systems go, Cyclone ready for action!",Trained,Cyclone
"Optics online, let's go kill something!",Trained,Cyclone
You got coordinates or what?,Selected,Cyclone
Comm's open.,Selected,Cyclone
This oughta be good.,Selected,Cyclone
Show me who you want to die.,Selected,Cyclone
Got a target in mind?,Selected,Cyclone
Cyclone receiving.,Selected,Cyclone
"Channel's clear, boss.",Selected,Cyclone
Takin' some fire here!,Engaged In Battle,Cyclone
Enemy contact!,Engaged In Battle,Cyclone
Moving into position.,Moved,Cyclone
Nothing will stop me!,Moved,Cyclone
I getcha.,Moved,Cyclone
Cyclone en route.,Moved,Cyclone
In gear.,Moved,Cyclone
"Oh, I'll get there.",Moved,Cyclone
