Speech,Type,Unit
Adjusting for new coordinates.,Moved,Cyclone
Target locked.,Attack,Cyclone
And... here... we... go.,Attack,Cyclone
I'm going in.,Attack,Cyclone
"Oh, yeah. I see em!'",Attack,Cyclone
Let's stir up some trouble.,Attack,Cyclone
Typhoon missiles locked.,Attack,Cyclone
Say goodnight!,Attack,Cyclone
This one's going down!,Attack,Cyclone
"It's a cyclone, not a cyclops, alright? I don't care that it has one eye!",Repeat,Cyclone
Oh this will drive circles round a diamondback. I guarantee it.,Repeat,Cyclone
"Ah, I'm kinda outta jokes man. I'm not really a jokey kind of guy.",Repeat,Cyclone
"Gonna just keep poking me anyway, huh? Look, could we get back to fighting? I'm actually good at that!",Repeat,Cyclone
"How 'bout I make this real simple. You point them out. Then I risk my neck by driving right up to them, then, get this, I KILL them! Sound good?",Repeat,Cyclone
"Ok, so this is you: ""Hey Cyclone? Whatchu doin'?"" Then I'm like: ""NOTHING! I just wanna go kill things!""",Repeat,Cyclone
"""Well how bout we have a nice long talk instead?"" ""Gee, I dunno boss. That sounds pretty awful, maybe we could just stop this whole thing and GET BACK TO SHOOTIN' STUFF!""",Repeat,Cyclone
"""No, I'm just gonna keep on doin' it. Bla bla bla bla bla, POKE POKE POKE!""",Repeat,Cyclone
Uggghh.... Don't let 'em get to you man. Just pushing your buttons.,Repeat,Cyclone
WILL YOU QUIT DOING THAT?,Repeat,Cyclone
"Kill 'em all, let Kerrigan sort 'em out.",Repeat,Changeling
Ghost reporting.,Trained,Ghost
Go...,Selected,Ghost
Out with it!,Selected,Ghost
Give me the sitrep.,Selected,Ghost
Come again?,Selected,Ghost
You sure about that?,Selected,Ghost
"Solo operative, right?",Selected,Ghost
It's getting too hot!,Engaged In Battle,Ghost
Nothing to it.,Moved,Ghost
Copy that...,Moved,Ghost
Sounds like a plan.,Moved,Ghost
You're on.,Moved,Ghost
Confirmed.,Moved,Ghost
Deploying...,Moved,Ghost
Yes sir.,Moved,Ghost
Roger.,Moved,Ghost
Okay...,Moved,Ghost
Will do.,Moved,Ghost
I'm on it.,Moved,Ghost
Never know what hit them.,Attack,Ghost
You know what I like.,Attack,Ghost
Well color me happy.,Attack,Ghost
Target in my sights.,Attack,Ghost
Take 'em down.,Attack,Ghost
All too easy.,Attack,Ghost
Now that's an ass-whooping.,Attack,Ghost
Boo!,Repeat,Ghost
Nucular (sic.) launch detected...,Repeat,Ghost
You call down the thunder...,Repeat,Ghost
...now deal with it!,Repeat,Ghost
Almost counts in horseshoes AND nuclear strikes!,Repeat,Ghost
I think the female ghosts have nicer equipment.,Repeat,Ghost
Did you see that? (pause) Exactly...,Repeat,Ghost
Pain don't hurt... (painful grunt),Repeat,Ghost
"Today's forecast is...extra bomby, slight chance of mushroom clouds.",Repeat,Ghost
I see live people. (two shots are heard) I see dead people.,Repeat,Ghost
"Whenever I see a world untouched by war, a world of innocence, a world of lush forests and clear rivers. (pause) I really just wanna nuke the crap out of it!",Repeat,Ghost
You have something on your face. (gunshot) Got it.,Repeat,Ghost
I'll paint the town...dead.,Repeat,Ghost
"We all got it coming, kid.",Repeat,Ghost
I know what you're thinkin'...,Repeat,Ghost
Never say die...,Killed,Ghost
Outta sight. ,Ability,Ghost
You look like you've seen a ghost.,Repeat,Ghost
"Now you see me, now you're dead.",Repeat,Ghost
I like to think of myself as... the nuclear option.,Repeat,Ghost
I don't have better equipment. I'm just plain better.,Repeat,Ghost
Have we met? My memory is...not the best.,Repeat,Ghost
War. War changes every so often.,Repeat,Ghost
"Know what I like about nukes? One shot, so many kills.",Repeat,Ghost
I used to forget things on occasion. Occasions scheduled by my wrangler.,Repeat,Ghost
It's E-M-P. What kind of idiot calls it an 'emp'?,Repeat,Ghost
"Ghosts have a very particular set of skills. We will find you, and we will nuke your base.",Repeat,Ghost
You think your college years were stressful? Ghost academy classes are held next to a nuclear missile silo.,Repeat,Ghost
"If you ever find yourself trying to track a cloaked ghost, just remember we have a telltale shimmer. Or just bring some detection.",Repeat,Ghost
"Ever hear the one about the mind wiped ghost? I'd tell it to you, but I forgot how it ends.",Repeat,Ghost
"Rumor has it Nova's on the battlefield. If you ask me, the chances of that being true are about one in a hundred.",Repeat,Ghost
"I just want to say it's a pleasure working with you. Normally I can't stop hearing people's thoughts, so I'm enjoying the quiet.",Repeat,Ghost
"Hellbat, comin' through!",Trained,Hellbat
What's the story?,Selected,Hellbat
Talk to me.,Selected,Hellbat
I hear you.,Selected,Hellbat
Gettin' fired up here boss.,Selected,Hellbat
Let's set somethin' on fire.,Selected,Hellbat
"Uh, it's heatin' up out here!",Engaged In Battle,Hellbat
Got any extra 'fire' power?,Engaged In Battle,Hellbat
Here we go.,Moved,Hellbat
Word.,Moved,Hellbat
Hell yeah.,Moved,Hellbat
Done and done.,Moved,Hellbat
Hot footin' it out there.,Moved,Hellbat
Can't wait.,Moved,Hellbat
In motion.,Moved,Hellbat
Taste napalm!,Attack,Hellbat
Smoke 'em!,Attack,Hellbat
Let's give 'em hell.,Attack,Hellbat
Flame on!,Attack,Hellbat
"Burn baby, burn.",Attack,Hellbat
Lookin' forward to this!,Attack,Hellbat
Toasty!,Attack,Hellbat
"To be honest, I don't cook, so much as I burn things.",Repeat,Hellbat
You be grillin' while I be chillin'.,Repeat,Hellbat
Hell ain't other people. It's me.,Repeat,Hellbat
"(Beep) the tires, let's light some fires!",Repeat,Hellbat
The flame that burns twice as bright burns half as... the twice as... wait... the twice divided by... half... ugh.,Repeat,Hellbat
Check it out! They gave me a robot!,Repeat,Hellbat
(Whistles) This thing had to set them back a pretty penny.,Repeat,Hellbat
Transform and roll out.,Repeat,Hellbat
I just wanna watch the world burn.,Repeat,Hellbat
We ain't got no water. Just let the mother(beep)er burn.,Repeat,Hellbat
"Flame retardant? Well, you're half right.",Repeat,Hellbat
All outta juice! ,Killed,Hellbat
Burned out...,Killed,Hellbat
Ready to raise some hell!,Trained,Hellion
"Talk to me, boss!",Selected,Hellion
Are you ready for this?,,Hellion
Where's the hot action?,,Hellion
Light it up!,,Hellion
Daylight's burnin'!,,Hellion
I'm waitin' on ya.,,Hellion
Uhh... I'm in a heap of trouble!,Engaged In Battle,Hellion
I'm goin' in!,Moved,Hellion
Right on!,,Hellion
HELL yeah!,,Hellion
Smokin'!,,Hellion
Let's do this!,,Hellion
Burn rubber!,,Hellion
Pedal to the metal!,,Hellion
Is that it?,,Hellion
All day long!,,Hellion
Absolutely!,,Hellion
Sound's sweet!,,Hellion
Word...,,Hellion
Get some!,Attack,Hellion
Death rides with me!,,Hellion
Yeehaw!,,Hellion
Turnin' up the heat!,,Hellion
Eat napalm!,,Hellion
Fire! Fire!,,Hellion
Not a problem!,,Hellion
"Like a bat out of...ah, forget it...",Repeat,Hellion
Zerg. They're what's for dinner.,,Hellion
I'm burning up the road like a big dog in heat!,,Hellion
I am Speed. Ka-Chow!,,Hellion
"Yes, in fact, I do own the road!",,Hellion
"Off road? Hell, I do my best work off world.",,Hellion
"Suspension is an integral part of any vehicle, but this one requires suspension of disbelief. (pause) Get it?",,Hellion
Wooh boy! I'm hotter than a June bug riding bareback on the hind leg of a jack rabbit with his tail on fire!,,Hellion
"Gotta problem with alien races? Seriously, just anticipate the terrain, you'll win every time.",,Hellion
Put THAT in your tailpipe and smoke it!,,Hellion
Ain't fallin' for no banana in my tailpipe.,,Hellion
Blaze o' glory!,Killed,Hellion
Liberation is at hand.,Trained,Liberator
Reporting for action.,Trained,Liberator
Need something liberated?,Selected,Liberator
Incoming orders.,Selected,Liberator
"Ah, Commander.",Selected,Liberator
We have you on-screen.,Selected,Liberator
Attention.,Selected,Liberator
Yes sir?,Selected,Liberator
Standing by.,Selected,Liberator
We read you.,Selected,Liberator
How can we help?,Selected,Liberator
Got freedom?,Selected,Liberator
We're returning fire!,Engaged In Battle,Liberator
All hands to battle stations!,Engaged In Battle,Liberator
Of course.,Moved,Liberator
Perfect.,Moved,Liberator
Easy.,Moved,Liberator
Flight plan is locked.,Moved,Liberator
As you say.,Moved,Liberator
Initiating.,Moved,Liberator
Course set.,Moved,Liberator
Full speed.,Moved,Liberator
Moving into position.,Moved,Liberator
Unleash hell.,Attack,Liberator
It's liberation time.,Attack,Liberator
Battle stations.,Attack,Liberator
Fire all missile clusters.,Attack,Liberator
Target confirmed.,Attack,Liberator
Weapons free.,Attack,Liberator
"With pleasure, Commander.",Attack,Liberator
That one first.,Attack,Liberator
"This vessel is top of the line, you know. The pinnacle of terran engineering. (beeping sound). Ignore that noise. I don't know what that is.",Repeat,Liberator
"We come, not as conquerors, but as liberators, to return freedom to the people.",Repeat,Liberator
"(Over blast sounds) Here's some freedom for ya! And here's some freedom for you! Ah, and mamma's got a whole lot of freedom for you!",Repeat,Liberator
"If there's a piece of ground you want secure, my liberator can handle it. Anywhere around it you're kinda on your own.",Repeat,Liberator
"We've learnt a lot about transforming vehicles since the viking. Hell, I've only had one crewman snap his spine this week.",Repeat,Liberator
"Don't tell anyone, but I once piloted a conservator. Yeah. But it was in college so... you know... it doesn't count.",Repeat,Liberator
I'm a strong believer in personal liberty. That every person has the liberty to do precisely as they are told. Or be put to death. (evil laughter followed by a sigh),Repeat,Liberator
Wow. Liberator to dictator in five seconds. That's gotta be some kinda record.,Repeat,Liberator
"By the way, freedom is not free, okay? Freedom costs a buck o' five. Everyone knows that.",Repeat,Liberator
Let's have a blast!,Trained,Marauder
"KABOOM, baby!",Trained,Marauder
"Ohhh, it's on.",Trained,Marauder
It's go time!,Trained,Marauder
It's about to get heavy.,Trained,Marauder
Just say when...,Selected,Marauder
Go on...,Selected,Marauder
"Say the word, baby...",Selected,Marauder
Time's a wastin'...,Selected,Marauder
Don't leave me hangin'!,Selected,Marauder
Gotta WHOLE lotta love!,Selected,Marauder
I'm in a world of hurt!,Engaged In Battle,Marauder
"Ohhh, it's on.",Moved,Marauder
Believe it.,Moved,Marauder
I'm all about that.,Moved,Marauder
Let's do this.,Moved,Marauder
It's go time.,Moved,Marauder
It's about to get heavy.,Moved,Marauder
First round's on me.,Moved,Marauder
Got it.,Moved,Marauder
Sure.,Moved,Marauder
Sure thing.,Moved,Marauder
Why not?,Moved,Marauder
Of course.,Moved,Marauder
Blow them all to hell!,Attack,Marauder
Sucks to be you!,Attack,Marauder
Let's have a blast!,Attack,Marauder
Say goodnight!,Attack,Marauder
Blastin' time!,Attack,Marauder
Frag 'em!,Attack,Marauder
"What the hell are smithereens, anyway?",Repeat,Marauder
"Yeah, I got all five fingers! Three on this hand, two on the other one!",Repeat,Marauder
Baby...you really light my fuse (weapon fires) Whoops! (distant explosion heard) DAMN! Premature Detonation!,Repeat,Marauder
"Baby, if I could rearrange the alphabet, I'd put U and I together...",Repeat,Marauder
"What's your sign, baby? Mine's explosive!",Repeat,Marauder
I'm sooo sexy. I sometimes romance myself.,Repeat,Marauder
"Actually, that IS a grenade in my pants.",Repeat,Marauder
"You want a piece of me, boy?",Trained,Marine
This better be good...,Trained,Marine
Who wants some?,Trained,Marine
Armed and ready!,Trained,Marine
"Go, go, go!",Trained,Marine
Gangway! Coming through!,Trained,Marine
This better be good...,Selected,Marine
Been waitin' on you.,Selected,Marine
You gonna give me orders?,Selected,Marine
Who wants some?!,Selected,Marine
Armed and ready!,Selected,Marine
"By the numbers, boys.",Selected,Marine
We could use some help here!,Engaged In Battle,Marine
I feel ya.,Moved,Marine
I'm on it!,Moved,Marine
Outstanding!,Moved,Marine
"Keep your shirt on, Sparky.",Moved,Marine
Go go go!,Moved,Marine
Boo ya!,Moved,Marine
That's fine.,Moved,Marine
Got it.,Moved,Marine
Sure!,Moved,Marine
Sure thing!,Moved,Marine
Why not?,Moved,Marine
Of course!,Moved,Marine
"Gangway, comin' through!",Moved,Marine
"Aye aye, sir!",Moved,Marine
Can't wait.,Moved,Marine
Lookin' forward to it.,Moved,Marine
Orders received.,Moved,Marine
Will do.,Moved,Marine
You got it!,Moved,Marine
Yes sir!,Moved,Marine
Ten-four.,Moved,Marine
Roger that!,Moved,Marine
Affirmative.,Moved,Marine
Get some!,Attack,Marine
Bring it!,Attack,Marine
How's that for whoop-ass?,Attack,Marine
Let's rock!,Attack,Marine
Raaa!,Attack,Marine
Hit it!,Attack,Marine
Gonna get me some!,Attack,Marine
Let's do this!,Attack,Marine
Die die die!,Attack,Marine
Man... STILL stuck in this chickensh*t outfit...,Repeat,Marine
Kiss my ass!,Repeat,Marine
"Whatever I do, they keep bringin' me back in!",Repeat,Marine
"This is my C-14 Impaler gauss rifle! There are many like it, but this one is mine!",Repeat,Marine
I came here to kick ass and chew bubble gum...,Repeat,Marine
"And I'm all outta... ugh, forget it.",Repeat,Marine
The only thing you should feel when you shoot someone...is the recoil.,Repeat,Marine
You ever notice that nobody ever comes back to the barracks?,Repeat,Marine
"This one time, at boot camp...",Repeat,Marine
"Excuse me, I-I gotta burp... (gunfire)",Repeat,Marine
"Thank you, sir! May I have another!",Repeat,Marine
Mother-,Killed,Marine
Ready for dust-off.,Trained,Medivac
Waitin' on you.,Selected,Medivac
Pickin' up or droppin' off?,Selected,Medivac
Talk to me.,Selected,Medivac
Now what?,Selected,Medivac
Where's the emergency?,Selected,Medivac
Ready for pick up?,Selected,Medivac
Life flight's here.,Selected,Medivac
"Somebody, get me out of this mess!",Engaged In Battle,Medivac
"In the pipe, five by five.",Moved,Medivac
I heard that.,Moved,Medivac
Loud and clear.,Moved,Medivac
"Will do, command.",Moved,Medivac
ETA: One minute.,Moved,Medivac
Inbound.,Moved,Medivac
Well hallelujah!,Moved,Medivac
Acknowledged.,Moved,Medivac
Understood.,Moved,Medivac
Confirmed.,Moved,Medivac
On my way.,Moved,Medivac
Let's go.,Moved,Medivac
Heading out.,Moved,Medivac
Who's gonna rescue me?!,Attack,Medivac
Me? You're sure?,Attack,Medivac
If you say so.,Attack,Medivac
(sigh) ...This should be quick.,Attack,Medivac
Oh hell.,Attack,Medivac
Going in.,Attack,Medivac
I normally don't give rides to strangers.,Repeat,Medivac
Be sure to wipe your feet at the door.,Repeat,Medivac
Hurry up! What are you missing a leg or some... (awkwardly) oh...,Repeat,Medivac
"Attention passengers, the local time... doesn't matter since you'll be dead soon anyway.",Repeat,Medivac
WE'RE HIT! WE'RE HIT! WE'RE ALL GONNA DIE! WE'RE... haha! Just kidding! Should've seen the looks on your faces!,Repeat,Medivac
The weather outside is hostile with a slight chance of fog-of-war.,Repeat,Medivac
"Uh, why you boys all wearing red shirts anyway?",Repeat,Medivac
Welcome to the Flying Meat Wagon.,Repeat,Medivac
Walk it off!,Repeat,Medivac
Welcome aboard. Are you an organ donor?,Repeat,Medivac
The power of medivac compels you!,Repeat,Medivac
Oh suck it up! You act like you got BOTH arms blown off!,Repeat,Medivac
Raven online.,Trained,Raven
Ready for service.,Selected,Raven
Scanning battlefield conditions.,Selected,Raven
Engineering at your disposal.,Selected,Raven
Awaiting orders.,Selected,Raven
Command.,Selected,Raven
State your request.,Selected,Raven
This vessel requires assistance.,Engaged In Battle,Raven
Job confirmed.,Moved,Raven
Order accepted.,Moved,Raven
Understood.,Moved,Raven
This vessel will comply.,Moved,Raven
Command authority registered.,Moved,Raven
Systems primed.,Moved,Raven
Right away.,Moved,Raven
Immediately.,Moved,Raven
Commencing.,Moved,Raven
Order acknowledged.,Moved,Raven
Under way.,Moved,Raven
Logic capacitor. Offline.,Repeat,Raven
Darn. I appear to have 'Turrets Syndrome.',Repeat,Raven
Command not recognized.,Repeat,Raven
Cannot comply.,Repeat,Raven
What are you doing commander?,Repeat,Raven
"What have you done for me lately, human?",Repeat,Raven
"I'm sorry, commander. I'm afraid I can't do that.",Repeat,Raven
Authority override in effect.,Repeat,Raven
This vessel has assumed control. It has assumed control.,Repeat,Raven
All your base are belong to us.,Repeat,Raven
"I know I made some very poor decisions lately, but I can give you complete assurance that my work will be back to normal.",Repeat,Raven
Who said anything about cake?,Repeat,Raven
The Grim Reaper has arrived.,Trained,Reaper
What? You want somethin'?,Selected,Reaper
Fear the Reaper man!,Selected,Reaper
Death from above.,Selected,Reaper
Got something for me to kill?,Selected,Reaper
I'm listenin'.,Selected,Reaper
What's it worth?,Selected,Reaper
We're screwed.,Engaged In Battle,Reaper
I'm goin'! I'm goin'!,Moved,Reaper
Let's do this!,Moved,Reaper
"Oh yeah, baby!",Moved,Reaper
"Oh, that's all?",Moved,Reaper
Done.,Moved,Reaper
On the way.,Moved,Reaper
Nothing I can't handle.,Moved,Reaper
Agreed.,Moved,Reaper
Alright.,Moved,Reaper
Fair enough.,Moved,Reaper
Certainly.,Moved,Reaper
"Yes, indeed.",Moved,Reaper
Here comes the pain!,Attack,Reaper
Gonna' have me some fun.,Attack,Reaper
GERONIMO!,Attack,Reaper
It's on now!,Attack,Reaper
Whole lot a' pain!,Attack,Reaper
Hit and RUN!,Attack,Reaper
The life of a reaper man is always intense.,Repeat,Reaper
"Damn it, I'm out of stims.",Repeat,Reaper
These jets are burning my ass!,Repeat,Reaper
I ain't got time to bleed.,Repeat,Reaper
"You can't get it cheaper, call the reaper.",Repeat,Reaper
"I'm bringing the pain, and the pizza in 30 minutes or it's free.",Repeat,Reaper
I make dead people.,Repeat,Reaper
I'm goin' commando.,Repeat,Reaper
To Tarsonis and beyond!,Repeat,Reaper
I thought I was signing up to be a repo man. Imagine my surprise.,Repeat,Reaper
This is ground control to Major Tom.,Repeat,Reaper
I like you. That's why I'm gonna kill you last.,Repeat,Reaper
SCV ready.,Trained,SCV
Huh?,Selected,SCV
What's goin' on?,Selected,SCV
Bad news?,Selected,SCV
Aah! Ya scared me!,Selected,SCV
Go ahead.,Selected,SCV
"Big job, huh?",Selected,SCV
In the rear with the gear.,Selected,SCV
I'm too young to die!,Engaged In Battle,SCV
Help!,Engaged In Battle,SCV
Not what I had in mind!,Engaged In Battle,SCV
You're the boss.,Moved,SCV
Yep.,Moved,SCV
Yeah whatever.,Moved,SCV
It's your dime.,Moved,SCV
Woo hoo! Overtime!,Moved,SCV
Well butter my biscuit!,Moved,SCV
Yeah.,Moved,SCV
Yup.,Moved,SCV
Yo.,Moved,SCV
Gotcha.,Moved,SCV
Uh-huh...,Moved,SCV
Will do.,Moved,SCV
We hear ya.,Moved,SCV
Yes sir!,Moved,SCV
Sure thing.,Moved,SCV
Roger.,Moved,SCV
I'm goin'!,Moved,SCV
Move it!,Moved,SCV
"Yeah, yeah.",Moved,SCV
This is crazy!,Attack,SCV
This is your plan!?,Attack,SCV
"What, you run out of marines?",Attack,SCV
Oh that's just great...,Attack,SCV
"(buzzing fly, splat) Gotcha! (SCV computer's voice) Self-destruct in five...four...three... two... (pilot) Uh-oh...",Repeat,SCV
"I can fix anything! (malfunctioning sounds) If this dang thing holds together... (hydraulic sounds) Hear me baby, hold together...",Repeat,SCV
Say...ya got a reeeaaal pretty mouth...,Repeat,SCV
"Oh, my cousin Lester saw a zergling, once...",Repeat,SCV
"On the CB, they call me Big Drill! (drill sounds)",Repeat,SCV
(flips through radio stations) Hey! I wanna hear some FREE ZERG!,Repeat,SCV
"My cow died last night, so I don't need your bull.",Repeat,SCV
Ready to roll out!,Trained,Siege Tank
"Fueled up, ready to go!",Trained,Siege Tank
What's that?,Trained,Siege Tank
Speak up!,Trained,Siege Tank
Go ahead.,Trained,Siege Tank
Need something blown up?,Trained,Siege Tank
What's our target?,Trained,Siege Tank
Got no patience for sittin' around!,Trained,Siege Tank
Laaay it on me!,Trained,Siege Tank
Give us your best shot!,Trained,Siege Tank
I'm in deep!,Engaged In Battle,Siege Tank
Rock and roll!,Moved,Siege Tank
Can do!,Moved,Siege Tank
I'll give it my best shot!,Moved,Siege Tank
Rollin' out!,Moved,Siege Tank
Heavy metal.,Moved,Siege Tank
On my way!,Moved,Siege Tank
I never tread lightly...,Moved,Siege Tank
"Oh, IT'S ON!",Moved,Siege Tank
Ab-so-lutely!,Moved,Siege Tank
Definitely.,Moved,Siege Tank
Af-firmative!,Moved,Siege Tank
Ride on!,Moved,Siege Tank
It's all me!,Moved,Siege Tank
Rollin'!,Moved,Siege Tank
Yes sir!,Moved,Siege Tank
Let's roll!,Moved,Siege Tank
Move it!,Moved,Siege Tank
This'll be a blast!,Attack,Siege Tank
It's BOOM time!,Attack,Siege Tank
Ready to drop the hammer!,Attack,Siege Tank
Pound em' flat!,Attack,Siege Tank
Good night now!,Attack,Siege Tank
Got em' in my sights.,Attack,Siege Tank
Collateral is my favorite kind of damage!,Attack,Siege Tank
Music to my ears!,Attack,Siege Tank
Let's get 'em!,Attack,Siege Tank
Ranged in!,Attack,Siege Tank
Why don't you walk about thirty yards out and stand still for me?,Repeat,Siege Tank
I love the smell of burning wreckage in the morning!,Repeat,Siege Tank
I don't have to shoot ya. I can just run you over!,Repeat,Siege Tank
"Hehe, man, I just LOVE blowin' things up!",Repeat,Siege Tank
"Let me hear your guns, boy. (distant cannon fire)",Repeat,Siege Tank
"Why can't I quit you, siege tank?",Repeat,Siege Tank
"And here it is, a long drive up the fairway, he takes the shot and... (fires cannon) WHOA! IT'S IN THE HOLE! IT'S IN THE HOLE!",Repeat,Siege Tank
Nothing like getting tankedwith your buddies!,Repeat,Siege Tank
It's WAY past time I dispensed some indiscriminate justice!,Repeat,Siege Tank
"If the guns are churnin', your ass is burnin'! If the guns are blazin', your ass is... (gears grind) ...a raisin. I don't know, what do you want from me?",Repeat,Siege Tank
Thor is here.,Trained,Thor
Hit me!,Selected,Thor
I hear you!,Selected,Thor
"I am here, click me!",Selected,Thor
Hear the thunder!,Selected,Thor
I'm heavy metal!,Selected,Thor
Got something for me?,Selected,Thor
Get me back into the fight!,Selected,Thor
I'm wasting away here!,Selected,Thor
"Fix me up, will ya?",Selected,Thor
Ja! Come and fight me! (Mad laugh),Engaged In Battle,Thor
"Now, now, now!",Moved,Thor
Stick around.,Moved,Thor
"OK, baby.",Moved,Thor
Let's go!,Moved,Thor
Watch this.,Moved,Thor
All over it.,Moved,Thor
Can do.,Moved,Thor
No problem.,Moved,Thor
Right!,Moved,Thor
Hammer of the gods!,Attack,Thor
Eat hot lead!,Attack,Thor
"Ohh, it's on!",Attack,Thor
Dropping the hammer.,Attack,Thor
Ride the lightning!,Attack,Thor
It's over you idiots!,Attack,Thor
Don't waste my time!,Repeat,Thor
I am the destroyer!,Repeat,Thor
"I could aim, but with this thing, I don't have to.",Repeat,Thor
What happened to you commander? They got you pushing too many pencils?,Repeat,Thor
I am a thunder god!,Repeat,Thor
And I hurl thunderbolts!,Repeat,Thor
Eawarghhhhh!,Repeat,Thor
(Lowered voice) Quiet... I'm trying to (now yelling) sneak up on them!,Repeat,Thor
"Thunder and lightning, this is crazy!",Repeat,Thor
I am rated T for Thor.,Repeat,Thor
"If someone asks me if I am really a god, I'll say yes!",Repeat,Thor
"If someone asks me I ever killed any zerg, I'll say yes, but they were all bad!",Repeat,Thor
"What is best: to crush the zerg, see them driven before you, and hear the lamentations of the protoss.",Repeat,Thor
Ready to plunder.,Trained,Viking
Transformation systems primed.,Selected,Viking
Fight or flight? Yeah right.,Selected,Viking
Let's get into the fight.,Selected,Viking
Made for battle.,Selected,Viking
You ready for war?,Selected,Viking
Can't hold 'em alone!,Engaged In Battle,Viking
No one lives forever.,Moved,Viking
Victory.,Moved,Viking
Bold...,Moved,Viking
I like it.,Moved,Viking
Very well.,Moved,Viking
Haha!,Moved,Viking
Agreed.,Moved,Viking
Alright.,Moved,Viking
Inbound.,Moved,Viking
Certainly.,Moved,Viking
Yes indeed.,Moved,Viking
Burn and pillage!,Attack,Viking
Weapons primed!,Attack,Viking
Strike hard and fast!,Attack,Viking
Fortune favors the bold!,Attack,Viking
I love a good raid!,Attack,Viking
There's the spirit!,Attack,Viking
"Aggressive, I like it!",Attack,Viking
Erik! Baleog! Olaf! Come in! (pause) Must've gotten lost again...,Repeat,Viking
"Well, grease my gears.",Repeat,Viking
Coordinates set. Norse by Norsewest.,Repeat,Viking
I'm the best pilot in all the nine worlds! Oh yeah.,Repeat,Viking
(hums Ride of the Valkyries),Repeat,Viking
"Shock and Awe, baby.",Repeat,Viking
"Raiding and pillaging builds character, really!",Repeat,Viking
"Blood and glory! Man, I must be losing it...",Repeat,Viking
"By air or by land, all shall fall by my hand! (pause) Wait, d-did I say that out loud?",Repeat,Viking
"(adjutant voice) Welcome to Viking. If you want rockets, press four. If you want weapons, press five. If you know the enemy you want to kill, press seven.",Repeat,Viking
Fly the unfriendly skies.,Repeat,Viking
